"","SerWT1","SerWT2","SerWT3","SerWT4","SerKO1","SerKO2","SerKO3","SerKO4","ExoWT1","ExoWT2","ExoWT3","ExoWT4","ExoKO1","ExoKO2","ExoKO3","ExoKO4"
"mmu-miR-7b",0.819864501041481,0.441718641046432,0.527878457247835,1.64077608318263,0.350772168389396,1.53546964115869,0.00613290358378046,-0.106353523123608,0.22871242877074,-0.125500148946142,-0.0321603480612878,0.0539994681401156,-1.96357622790942,-1.37721081209431,-0.350473002360917,-1.65005023006542
"mmu-miR-9",1.15900675117118,0.937802034090507,1.03847004904938,0.948398667244072,0.833160281699053,0.841107756564226,0.610630985474186,0.741764320749554,-1.18417375491089,0.20928350478291,-1.03714546990518,-0.449032329882319,-1.14576095972922,-0.692754892414316,-1.34047409392598,-1.47028285005715
"mmu-miR-10a",1.11172999375912,0.942309111982066,1.16618670575888,1.10416656153693,0.804654645538212,0.786502408204956,0.615568839983468,-1.79565335245062,-0.0515258820136674,-0.22699750956847,-0.074216178680237,0.0316718724304194,-0.705006426010862,-1.66556231822896,-1.08166535067591,-0.962163121565314
"mmu-miR-10b",1.25549688907788,0.948723893556585,1.03393861453472,0.922212647030053,0.651419200366198,0.263218804799131,-1.78004083820996,-1.67967683350238,0.507501004936457,0.323815939716918,0.458265832815756,0.503713684004095,-0.668462144561826,-1.35586089378546,-0.852147209781363,-0.532118590996807
"mmu-miR-15a",0.970156846924909,0.891194035088513,1.00647974036965,1.00647974036965,0.798017917121568,0.779066842280832,0.6527263433426,0.75064023001973,-0.190596487070098,-0.441698228709835,-0.4227471538691,-0.0911033441562407,-1.18868642868213,-1.99726562188682,-1.29923436525308,-1.22343006589015
"mmu-miR-15b",0.868203590193764,0.759894601970136,0.863165962834525,1.04703936144673,0.646547986387269,0.601209340154121,0.339252717473719,0.515569675047067,0.258650679725903,0.00173168440473756,-0.036050520789551,0.23346254292971,-0.98816209168563,-2.45914928058328,-1.37857821202662,-1.27278803748261
"mmu-miR-16",0.999454407924752,0.673351516733398,1.05652241388324,0.807868959349831,0.241265185904854,0.110824029428309,-0.280499440001313,0.0496797373299326,0.710038091992425,0.408392917640422,0.400240345360638,0.885318396007778,-1.05091752044089,-2.2574982178489,-1.47485127898965,-1.27918954427483
"mmu-miR-17",1.14693174955467,0.857498388496057,0.790866247820692,0.84708711651553,0.6326149137167,0.751303414294693,0.434800746086709,0.601381097775122,0.0662417179760955,-0.12532568646558,-0.0857628529395814,0.162025420196933,-1.09565623505059,-2.2700477144539,-1.33719774499878,-1.37676057852478
"mmu-miR-18a",1.03757637590744,0.866512943075808,1.08276294307052,1.0133692863558,0.808415928151857,0.805188316211636,0.556662196814735,0.756774137108345,-0.371276235998376,-0.376117653908706,-0.297041161373327,-0.130819146452023,-1.43154675836049,-1.45252623597191,-1.17656541508314,-1.69136951954816
"mmu-miR-18b",1.09198435787714,0.907680064722887,1.01320913580314,0.952269813066657,0.787287744194705,0.77836979452595,0.583661226758151,0.715944146844672,-0.389881612080846,-0.210036293760971,-0.187741419589085,-0.166932870361992,-1.40058257453965,-1.63096294098247,-1.57299626813557,-1.27127230434272
"mmu-miR-19a",0.975188642930525,0.795395429295687,1.01634612556982,0.981687192820939,0.565779999834328,0.502960684226974,0.253849605094368,0.494295951039754,0.284176171249642,0.0437298253042563,-0.0472498731615655,0.171534639815767,-1.34046130135431,-2.4863722653643,-1.12384297167379,-1.0870178556281
"mmu-miR-19b",0.97213046353039,0.881394307278245,1.01988633524205,0.945864734088979,0.530388650197576,0.396672209404939,0.0910346304503434,0.358467512035615,0.375182067134695,0.0719322817656808,0.064768901008933,0.260567975026721,-1.10047436875547,-2.60239653408704,-1.12196451102571,-1.14345465329595
"mmu-miR-20a",0.465163931600589,0.150465288657273,0.200817071528203,0.31725556941723,-0.101293625697378,-0.45060911936446,-0.762160775878342,-0.787336667313807,1.4155538332894,1.11973710892268,1.21414670180568,1.62954891049086,-0.670898169424781,-1.92339876833918,-1.0044787309447,-0.812512558749273
"mmu-miR-20b",0.235644215813753,0.40211731676476,0.136993489324266,0.543927736093394,-0.350094472717568,-0.004816930004371,-0.504236232857391,-0.223698229402916,1.18207462307226,1.00635301651286,1.04642987414921,1.45644695612114,-0.633715311374841,-2.54507313710863,-0.935833161248891,-0.812519753137034
"mmu-miR-21",-0.459914536744546,-0.465829836252515,-0.575262877149931,0.498363983546341,-0.84145135500851,-0.584135826411885,-0.705399466325237,-0.690611217555316,1.66367798661613,1.20819992450255,1.3501671126938,1.93282411422869,-0.0251400229088663,-1.28805646786013,-0.557516978626025,-0.459914536744547
"mmu-miR-22",-0.105092622780508,-0.219458124041649,0.0680011088579761,0.809831387308625,-1.35384025817243,0.772739873386092,-0.775830832879637,-1.18692844552104,1.47129671892712,1.05092622780509,1.09110870122116,1.50529727335611,-0.547099830357355,-1.45893288095294,-0.729466440476471,-0.392551855680135
"mmu-miR-23a",1.13030343851562,0.687964557591349,0.732198445683776,0.704977591473051,0.347703879957298,0.5076263984453,-0.0367906857691826,0.327288239299254,0.606301994959177,0.357911700286318,0.259236103772443,0.538249859432366,-1.01333883057891,-2.5240962392741,-1.43866467762148,-1.18687177617228
"mmu-miR-23b",0.31548661377522,0.504825916866124,0.190522673735222,0.64872378721521,0.13750766886977,0.00497015670613542,-0.563047752566576,-0.188155932446586,1.18644740799338,0.932732741851566,0.932732741851568,1.15236633343702,-0.782681344152026,-2.65335365869016,-1.04018279635566,-0.778894558090207
"mmu-miR-24",1.16309425474872,0.78281088301008,0.899821151237354,0.773060027324472,0.573167485769545,0.617046336354771,0.107564126781844,0.448844075778064,0.253826962065939,0.027119567375592,0.034432709139797,0.375712658136017,-0.926026575892421,-2.46422406029681,-1.41356936017273,-1.25268024136023
"mmu-miR-25",-0.563909699543728,-0.264897083059687,0.716426201911427,-0.465576691438239,-0.856901927776412,-0.90305823770348,-1.95662618169087,-1.24019997977944,1.33853298788494,1.18802328160102,1.21611842677402,1.42883881165528,0.41139319717603,-0.230781549635334,0.0541834942622088,0.128434949362273
"mmu-miR-26a",0.171681907317734,-0.286572945389277,0.527811392850038,-0.0325688270316776,1.49145588311393,1.43122810247243,-1.26331043144479,-0.113745400939776,0.881322279224019,0.501625401266781,0.653504152449676,0.831568895215829,-0.566763055330134,-1.82107205216818,-1.35758000114452,-1.04858530046208
"mmu-miR-26b",1.02011015474473,1.02954833659279,0.97291924550442,0.980784397044473,0.80460500254731,0.736964699302863,0.538762880493556,0.68033560821449,-0.203707424887344,-0.622133486818105,0.0306740910062025,-0.150224394414992,-1.44325530759952,-1.68707500534113,-1.50617651991994,-1.1821322764698
"mmu-miR-27a",0.452716967878399,0.38373152515407,0.360736377579295,0.429721820303621,0.258900724033861,0.249045660787526,0.649818232805047,0.695808527954598,0.840349455567475,0.449431946796287,0.593972874409163,0.922474982620246,-1.29491424780456,-2.553077322253,-1.31133935321511,-1.12737817261691
"mmu-miR-27b",0.792934036425025,0.872708221989456,0.684669070301868,0.781537724201533,0.55076240167586,0.345628781653035,0.120551615239107,0.291496298591459,0.587800416402202,0.26015643997686,0.348477859708909,0.733103397251701,-1.40655422270857,-2.34959905920238,-1.40940330076444,-1.20426968074162
"mmu-miR-28",1.03505301428897,0.919975558230293,1.01100697869462,0.925128280143367,0.768829048780089,0.636575853011158,0.301648928661275,0.573025616083233,0.044012833007517,-0.259997759863917,-0.0521713093698862,0.212335082167972,-1.66325569419138,-1.92947965970027,-1.26306095894255,-1.2596258110005
"mmu-miR-29a",0.873134112369528,0.901910615285378,0.83250846119421,1.01532389148314,0.830815725728572,0.76479904256868,0.778340926293786,0.666620385561662,-0.203445643776396,-0.401495693256072,-0.325322597302351,0.136794184816891,-1.07689714404573,-1.98420335362783,-1.45945535927998,-1.34942755401349
"mmu-miR-29b",0.905208624459963,0.920674014733704,0.861390018684359,1.0405307893552,0.866545148775608,0.80597237020345,1.0186214864674,0.786640632361273,-0.207010692726651,-0.576891276773647,-0.335888945007835,-0.63488649030018,-1.27541140413766,-1.55121086401939,-1.10786967617212,-1.51641373590347
"mmu-miR-29c",-0.971008589593876,-1.27439143081502,-1.31109096805951,-0.973455225410177,0.073704903966025,0.330601664677473,0.340388207942672,0.778336019060288,1.28723626885059,1.03767941558804,1.11352512589332,1.83038942006909,-0.246804387969215,-1.02483457755247,-0.447428524905778,-0.542847321741458
"mmu-miR-30a",1.20335010657238,0.64979072776833,0.84775235992342,0.737773675392814,-0.0650707216806069,-0.0137473355663266,-0.365679126064264,0.0815675243602004,0.840420447621381,0.550809911690785,0.407837621800997,0.979726781360147,-0.878912987207092,-2.26831036844375,-1.39581280450094,-1.31149581302747
"mmu-miR-30b",0.569603700562862,-0.0866014552179769,0.219808390249934,-0.143544877827059,0.802800574104813,-0.620784991122214,-0.186930342672073,0.241501122672442,1.05226699696364,0.981765616590495,0.949226517956734,1.17700020839306,-0.813307991371963,-2.73040321921103,-0.753652977210069,-0.658747272861601
"mmu-miR-30c",0.537660776397675,0.23831284840901,0.17451738834585,0.694695755014679,0.0420191251377537,0.172063716804959,0.186785746050304,0.383079469321561,0.984228996839782,0.83946237592723,0.854184405172575,1.16580069086569,-1.24861210537075,-2.028879655374,-1.44981317172379,-1.54550636181853
"mmu-miR-30d",0.949953458037198,0.317992894851435,0.720515546562109,0.466926275984384,-0.0885549833763476,0.0402522651710661,-0.57158216542916,-0.221387458440872,1.07876070658461,0.905675966349021,0.776868717801604,1.24379499378599,-1.00630662927669,-2.17362231923765,-1.33637520367944,-1.10291206568725
"mmu-miR-30e",0.960953224599932,0.395905293693975,0.716429558593845,0.0654679071992634,0.0621635333343182,0.00929355149516321,-0.529319388491215,0.144772879957996,1.13938941330707,0.653646455159849,0.841995765461834,1.15260690876686,-0.985322981853916,-2.44585623016054,-1.07784545007244,-1.10428044099201
"mmu-miR-31",0.648509347985993,0.627107201868323,0.549281215985886,1.33337802375144,0.350824951985673,0.557063814574128,1.45595395151627,0.638781099750688,-0.143370058367801,-0.137533109426619,-0.0966744668383394,0.181553432691372,-1.4527922708398,-1.83413960166374,-1.37885758425148,-1.29908594872199
"mmu-miR-32",1.02623564745818,1.03749920944247,0.992444961505284,0.984935920182419,0.838509614386558,0.77843728380364,0.704598377462137,0.770928242480776,-0.546908509681979,-0.40423672454755,-0.16394740221588,-0.443033438049018,-1.19769209099692,-1.39167565850426,-1.48178415437863,-1.50431127834723
"mmu-miR-33",1.04583839211964,1.0938498761123,0.952639629075053,1.03171736741591,0.838259328974881,0.825550406741527,0.644801290533846,0.777538922748862,-0.419923972127025,-0.548425296930923,-0.524419554934591,-0.266004802856421,-1.38862626680257,-1.24741601976532,-1.58490851018434,-1.23047079012084
